indice,r,lower_bound_ci,upper_bound_ci,p_boot,p_perm,habitat,r_threshold
EVNtCount,0.09788954631587318,-0.01,0.21,0.088,0.081,Forest - Subtropical-tropical moist lowland,0.23665205175807277
MEANf,0.39448405907865625,0.29,0.49,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.23665205175807277
VARf,0.3698506294455929,0.26,0.46,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.23665205175807277
SKEWf,-0.12516117261351048,-0.23,0.0,0.038000000000000034,0.023,Forest - Subtropical-tropical moist lowland,0.23665205175807277
KURTf,-0.14898858578324742,-0.26,-0.03,0.02200000000000002,0.009,Forest - Subtropical-tropical moist lowland,0.23665205175807277
NP,0.2839860587132447,0.16,0.39,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.23665205175807277
LEQf,0.37497296556536414,0.27,0.47,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.23665205175807277
BGNf,0.37590487724835026,0.27,0.47,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.23665205175807277
SNRf,0.05125124678382527,-0.06,0.16,0.334,0.353,Forest - Subtropical-tropical moist lowland,0.23665205175807277
Hf,-0.011056019770802233,-0.13,0.1,0.8839999999999999,0.83,Forest - Subtropical-tropical moist lowland,0.23665205175807277
H,-0.003927561779449876,-0.13,0.1,0.986,0.957,Forest - Subtropical-tropical moist lowland,0.23665205175807277
EAS,0.14601631036926124,0.04,0.26,0.008,0.009,Forest - Subtropical-tropical moist lowland,0.23665205175807277
ECU,0.03338294235834058,-0.09,0.15,0.526,0.573,Forest - Subtropical-tropical moist lowland,0.23665205175807277
ECV,0.03312828134398001,-0.09,0.16,0.568,0.567,Forest - Subtropical-tropical moist lowland,0.23665205175807277
EPS,0.07456913288376672,-0.03,0.19,0.228,0.177,Forest - Subtropical-tropical moist lowland,0.23665205175807277
EPS_KURT,-0.0946369129139582,-0.2,0.02,0.08800000000000008,0.079,Forest - Subtropical-tropical moist lowland,0.23665205175807277
EPS_SKEW,-0.09404393412689638,-0.2,0.02,0.09000000000000008,0.079,Forest - Subtropical-tropical moist lowland,0.23665205175807277
ACI,0.24420453469121067,0.12,0.34,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.23665205175807277
NDSI,0.12040483481147973,0.02,0.22,0.018,0.028,Forest - Subtropical-tropical moist lowland,0.23665205175807277
rBA,0.12040483481147973,0.02,0.22,0.018,0.028,Forest - Subtropical-tropical moist lowland,0.23665205175807277
AnthroEnergy,0.3492813189475061,0.25,0.44,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.23665205175807277
BioEnergy,0.3581388883189734,0.25,0.45,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.23665205175807277
