indice,r,lower_bound_ci,upper_bound_ci,p_boot,p_perm,habitat,r_threshold
H_pairedShannon,0.1755544402997392,0.1,0.24,0.0,0.0,Arable land,0.15523043062430422
H_gamma,0.10964978631188489,0.03,0.19,0.008,0.005,Arable land,0.15523043062430422
H_GiniSimpson,0.2207974335080371,0.14,0.29,0.0,0.0,Arable land,0.15523043062430422
RAOQ,0.06729090305233473,-0.01,0.15,0.096,0.089,Arable land,0.15523043062430422
AGI,0.26365774133433806,0.19,0.34,0.0,0.0,Arable land,0.15523043062430422
nROI,0.4945281465626872,0.43,0.56,0.0,0.0,Arable land,0.15523043062430422
aROI,0.4303209750540565,0.36,0.5,0.0,0.0,Arable land,0.15523043062430422
ZCR,-0.14009120997996596,-0.23,-0.06,0.006000000000000005,0.001,Forest - Subtropical-tropical moist lowland,0.17575404897608995
MEANt,0.0195716288062887,-0.07,0.1,0.68,0.653,Forest - Subtropical-tropical moist lowland,0.17575404897608995
VARt,-0.009663046064701256,-0.09,0.06,0.8280000000000001,0.827,Forest - Subtropical-tropical moist lowland,0.17575404897608995
SKEWt,0.02684640265758203,-0.06,0.12,0.546,0.53,Forest - Subtropical-tropical moist lowland,0.17575404897608995
KURTt,0.19248164722988076,0.11,0.27,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.17575404897608995
LEQt,-0.009663046064701256,-0.09,0.06,0.8280000000000001,0.827,Forest - Subtropical-tropical moist lowland,0.17575404897608995
BGNt,-0.06093270112046061,-0.14,0.02,0.1379999999999999,0.153,Forest - Subtropical-tropical moist lowland,0.17575404897608995
SNRt,0.21567093978432483,0.14,0.3,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.17575404897608995
M,-0.06093270112046061,-0.14,0.02,0.1379999999999999,0.153,Forest - Subtropical-tropical moist lowland,0.17575404897608995
Ht,-0.2127232284800597,-0.29,-0.13,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.17575404897608995
ACTtFraction,0.21732003710801578,0.14,0.3,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.17575404897608995
ACTtCount,0.21732003710801578,0.14,0.3,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.17575404897608995
ACTtMean,0.21923855075576493,0.14,0.3,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.17575404897608995
EVNtFraction,0.22156702851947466,0.15,0.3,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.17575404897608995
EVNtMean,0.20392805206652326,0.13,0.29,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.17575404897608995
EVNtCount,0.18614543573036557,0.1,0.26,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.17575404897608995
MEANf,-0.06410640468403739,-0.15,0.01,0.1259999999999999,0.123,Forest - Subtropical-tropical moist lowland,0.17575404897608995
VARf,0.001552748362097918,-0.08,0.08,0.958,0.969,Forest - Subtropical-tropical moist lowland,0.17575404897608995
SKEWf,0.18319530789660024,0.1,0.27,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.17575404897608995
KURTf,0.1636316636999304,0.08,0.25,0.0,0.001,Forest - Subtropical-tropical moist lowland,0.17575404897608995
NP,0.004156444218151007,-0.08,0.1,0.964,0.912,Forest - Subtropical-tropical moist lowland,0.17575404897608995
LEQf,-0.010344280245565387,-0.09,0.06,0.8240000000000001,0.82,Forest - Subtropical-tropical moist lowland,0.17575404897608995
BGNf,-0.05146378832544756,-0.13,0.03,0.20999999999999996,0.234,Forest - Subtropical-tropical moist lowland,0.17575404897608995
SNRf,0.16965770022103166,0.1,0.25,0.0,0.001,Forest - Subtropical-tropical moist lowland,0.17575404897608995
Hf,-0.17666119596741386,-0.26,-0.09,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.17575404897608995
H,-0.18487362516917175,-0.27,-0.1,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.17575404897608995
EAS,0.1935832850107265,0.11,0.27,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.17575404897608995
ECU,0.06496743161681656,-0.02,0.14,0.156,0.133,Forest - Subtropical-tropical moist lowland,0.17575404897608995
ECV,0.08546408340611315,0.0,0.17,0.052,0.049,Forest - Subtropical-tropical moist lowland,0.17575404897608995
EPS,0.03736022675316364,-0.04,0.12,0.388,0.408,Forest - Subtropical-tropical moist lowland,0.17575404897608995
