indice,r,lower_bound_ci,upper_bound_ci,p_boot,p_perm,habitat,r_threshold
ADI,0.24526865717593313,0.17,0.32,0.0,0.0,Arable land,0.15239323911050076
AEI,-0.23761273868800703,-0.31,-0.17,0.0,0.0,Arable land,0.15239323911050076
LFC,0.08673740428615698,0.0,0.16,0.032,0.021,Arable land,0.15239323911050076
MFC,0.1208326794711218,0.04,0.21,0.004,0.001,Arable land,0.15239323911050076
HFC,-0.33931388879082724,-0.41,-0.27,0.0,0.0,Arable land,0.15239323911050076
ACTspFract,0.0731610720478176,-0.0,0.16,0.07,0.049,Arable land,0.15239323911050076
ACTspCount,0.07248142330219248,-0.0,0.16,0.074,0.053,Arable land,0.15239323911050076
ACTspMean,0.35862080460775136,0.29,0.43,0.0,0.0,Arable land,0.15239323911050076
EVNspFract,0.1563142988006812,0.08,0.23,0.0,0.0,Arable land,0.15239323911050076
EVNspMean,0.03299053438001516,-0.05,0.11,0.454,0.417,Arable land,0.15239323911050076
EVNspCount,0.1343740305728147,0.05,0.22,0.002,0.0,Arable land,0.15239323911050076
TFSD,0.40784700203042495,0.34,0.48,0.0,0.0,Arable land,0.15239323911050076
H_Havrda,0.23259287606878373,0.16,0.3,0.0,0.0,Arable land,0.15239323911050076
H_Renyi,0.23259287606878373,0.16,0.3,0.0,0.0,Arable land,0.15239323911050076
H_pairedShannon,0.17402703469342673,0.1,0.25,0.0,0.0,Arable land,0.15239323911050076
H_gamma,0.10790983830492418,0.04,0.18,0.004,0.009,Arable land,0.15239323911050076
H_GiniSimpson,0.2195228379803532,0.15,0.29,0.0,0.0,Arable land,0.15239323911050076
RAOQ,0.06558642894931939,-0.01,0.14,0.104,0.099,Arable land,0.15239323911050076
AGI,0.2649114235659321,0.19,0.35,0.0,0.0,Arable land,0.15239323911050076
nROI,0.5345054768600133,0.47,0.6,0.0,0.0,Arable land,0.15239323911050076
aROI,0.4575497978621458,0.38,0.52,0.0,0.0,Arable land,0.15239323911050076
ZCR,-0.1402212280287091,-0.22,-0.06,0.0020000000000000018,0.0,Forest - Subtropical-tropical moist lowland,0.1865985789178255
MEANt,-0.012272464157453202,-0.09,0.07,0.742,0.779,Forest - Subtropical-tropical moist lowland,0.1865985789178255
VARt,-0.00969637485808542,-0.09,0.07,0.8400000000000001,0.83,Forest - Subtropical-tropical moist lowland,0.1865985789178255
SKEWt,0.02784185704782486,-0.06,0.11,0.48,0.512,Forest - Subtropical-tropical moist lowland,0.1865985789178255
KURTt,0.1927422791886334,0.11,0.27,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.1865985789178255
LEQt,-0.00969637485808542,-0.09,0.07,0.8400000000000001,0.83,Forest - Subtropical-tropical moist lowland,0.1865985789178255
BGNt,-0.060517421971428384,-0.14,0.02,0.1319999999999999,0.162,Forest - Subtropical-tropical moist lowland,0.1865985789178255
SNRt,0.21492304801669232,0.13,0.3,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.1865985789178255
M,-0.060517421971428384,-0.14,0.02,0.1319999999999999,0.162,Forest - Subtropical-tropical moist lowland,0.1865985789178255
Ht,-0.2126378606886621,-0.3,-0.13,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.1865985789178255
ACTtFraction,0.21776115374878888,0.14,0.3,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.1865985789178255
ACTtCount,0.21776115374878888,0.14,0.3,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.1865985789178255
ACTtMean,0.21854249936401604,0.14,0.3,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.1865985789178255
EVNtFraction,0.22165566517213592,0.14,0.31,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.1865985789178255
EVNtMean,0.20464082040560713,0.11,0.28,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.1865985789178255
EVNtCount,0.18531324994782966,0.1,0.27,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.1865985789178255
MEANf,-0.06422287670096512,-0.15,0.01,0.1120000000000001,0.146,Forest - Subtropical-tropical moist lowland,0.1865985789178255
VARf,0.0016709285293421182,-0.08,0.08,0.966,0.98,Forest - Subtropical-tropical moist lowland,0.1865985789178255
SKEWf,0.18281856144075354,0.11,0.27,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.1865985789178255
KURTf,0.16348237930715603,0.09,0.25,0.0,0.001,Forest - Subtropical-tropical moist lowland,0.1865985789178255
NP,0.008048498655386429,-0.08,0.09,0.848,0.851,Forest - Subtropical-tropical moist lowland,0.1865985789178255
LEQf,-0.010178112971756147,-0.09,0.07,0.8320000000000001,0.821,Forest - Subtropical-tropical moist lowland,0.1865985789178255
BGNf,-0.05127958616225047,-0.13,0.02,0.19399999999999995,0.252,Forest - Subtropical-tropical moist lowland,0.1865985789178255
SNRf,0.1695714187678369,0.09,0.26,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.1865985789178255
Hf,-0.1766588919507079,-0.26,-0.1,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.1865985789178255
H,-0.18425928692163174,-0.27,-0.11,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.1865985789178255
EAS,0.19333294167829862,0.11,0.27,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.1865985789178255
ECU,0.06633176702656517,-0.03,0.16,0.17,0.117,Forest - Subtropical-tropical moist lowland,0.1865985789178255
ECV,0.09015474362399388,0.0,0.18,0.044,0.035,Forest - Subtropical-tropical moist lowland,0.1865985789178255
EPS,0.04713910924397719,-0.04,0.13,0.3,0.26,Forest - Subtropical-tropical moist lowland,0.1865985789178255
EPS_KURT,0.021442530095935792,-0.06,0.11,0.716,0.593,Forest - Subtropical-tropical moist lowland,0.1865985789178255
EPS_SKEW,0.01668072343115275,-0.07,0.1,0.762,0.682,Forest - Subtropical-tropical moist lowland,0.1865985789178255
ACI,0.2873655440405149,0.2,0.36,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.1865985789178255
NDSI,-0.0918123644706379,-0.17,-0.01,0.018000000000000016,0.031,Forest - Subtropical-tropical moist lowland,0.1865985789178255
rBA,-0.0918123644706379,-0.17,-0.01,0.018000000000000016,0.031,Forest - Subtropical-tropical moist lowland,0.1865985789178255
AnthroEnergy,0.15761230088239117,0.08,0.24,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.1865985789178255
BioEnergy,-0.0049149840513019105,-0.09,0.07,0.9059999999999999,0.913,Forest - Subtropical-tropical moist lowland,0.1865985789178255
BIO,-0.1447774977509854,-0.22,-0.06,0.0,0.001,Forest - Subtropical-tropical moist lowland,0.1865985789178255
ROU,0.00038508858529925336,-0.08,0.08,0.984,0.996,Forest - Subtropical-tropical moist lowland,0.1865985789178255
ADI,-0.06245140564950701,-0.15,0.02,0.18399999999999994,0.137,Forest - Subtropical-tropical moist lowland,0.1865985789178255
AEI,0.06602704095499197,-0.02,0.15,0.156,0.123,Forest - Subtropical-tropical moist lowland,0.1865985789178255
LFC,0.3930810418568346,0.32,0.46,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.1865985789178255
MFC,0.2981249305487002,0.21,0.38,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.1865985789178255
HFC,-0.1536146941849528,-0.24,-0.06,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.1865985789178255
ACTspFract,0.12421049645043732,0.03,0.21,0.004,0.001,Forest - Subtropical-tropical moist lowland,0.1865985789178255
ACTspCount,0.12421049645043732,0.03,0.21,0.004,0.001,Forest - Subtropical-tropical moist lowland,0.1865985789178255
ACTspMean,0.2481001338180969,0.17,0.33,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.1865985789178255
EVNspFract,0.1721726008263139,0.09,0.26,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.1865985789178255
EVNspMean,0.14313151616114894,0.06,0.23,0.0,0.001,Forest - Subtropical-tropical moist lowland,0.1865985789178255
EVNspCount,0.13041816344707588,0.04,0.22,0.002,0.002,Forest - Subtropical-tropical moist lowland,0.1865985789178255
TFSD,0.2506694302406247,0.16,0.34,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.1865985789178255
H_Havrda,-0.14962753236583548,-0.24,-0.07,0.0,0.001,Forest - Subtropical-tropical moist lowland,0.1865985789178255
H_Renyi,-0.14962753236583548,-0.24,-0.07,0.0,0.001,Forest - Subtropical-tropical moist lowland,0.1865985789178255
H_pairedShannon,-0.17576890591140068,-0.26,-0.1,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.1865985789178255
H_gamma,-0.09548798615627534,-0.18,-0.02,0.020000000000000018,0.028,Forest - Subtropical-tropical moist lowland,0.1865985789178255
H_GiniSimpson,-0.1686158079768364,-0.26,-0.09,0.0,0.001,Forest - Subtropical-tropical moist lowland,0.1865985789178255
RAOQ,-0.027779251352504905,-0.1,0.05,0.53,0.514,Forest - Subtropical-tropical moist lowland,0.1865985789178255
AGI,0.25177206113211964,0.17,0.33,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.1865985789178255
nROI,0.34109606218945665,0.26,0.41,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.1865985789178255
aROI,0.30244709317283236,0.23,0.38,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.1865985789178255
ZCR,0.09870331054773362,0.01,0.18,0.014,0.017,Forest - Subtropical-tropical moist montane,0.16649558701620257
MEANt,-0.15788866773348437,-0.23,-0.07,0.0020000000000000018,0.0,Forest - Subtropical-tropical moist montane,0.16649558701620257
VARt,-0.011861129059717672,-0.1,0.08,0.764,0.794,Forest - Subtropical-tropical moist montane,0.16649558701620257
SKEWt,0.11736770629093976,0.03,0.2,0.01,0.008,Forest - Subtropical-tropical moist montane,0.16649558701620257
KURTt,0.14157308696987778,0.06,0.23,0.002,0.001,Forest - Subtropical-tropical moist montane,0.16649558701620257
LEQt,-0.011861129059717672,-0.1,0.08,0.764,0.794,Forest - Subtropical-tropical moist montane,0.16649558701620257
BGNt,-0.008863665263981958,-0.1,0.08,0.8420000000000001,0.828,Forest - Subtropical-tropical moist montane,0.16649558701620257
SNRt,0.13631300971916255,0.05,0.22,0.0,0.003,Forest - Subtropical-tropical moist montane,0.16649558701620257
M,-0.008863665263981958,-0.1,0.08,0.8420000000000001,0.828,Forest - Subtropical-tropical moist montane,0.16649558701620257
Ht,-0.14213757871324992,-0.23,-0.06,0.0020000000000000018,0.001,Forest - Subtropical-tropical moist montane,0.16649558701620257
ACTtFraction,0.17543543451171315,0.09,0.26,0.0,0.0,Forest - Subtropical-tropical moist montane,0.16649558701620257
ACTtCount,0.17543543451171315,0.09,0.26,0.0,0.0,Forest - Subtropical-tropical moist montane,0.16649558701620257
ACTtMean,0.13393356513357468,0.05,0.22,0.004,0.001,Forest - Subtropical-tropical moist montane,0.16649558701620257
EVNtFraction,0.22086424455780415,0.14,0.3,0.0,0.0,Forest - Subtropical-tropical moist montane,0.16649558701620257
EVNtMean,0.2876883769975875,0.2,0.37,0.0,0.0,Forest - Subtropical-tropical moist montane,0.16649558701620257
EVNtCount,0.1774825748499618,0.09,0.25,0.0,0.0,Forest - Subtropical-tropical moist montane,0.16649558701620257
MEANf,-0.030562733826703305,-0.12,0.06,0.516,0.495,Forest - Subtropical-tropical moist montane,0.16649558701620257
VARf,0.014367627035193993,-0.07,0.11,0.732,0.754,Forest - Subtropical-tropical moist montane,0.16649558701620257
SKEWf,-0.06371560229571997,-0.15,0.03,0.15599999999999992,0.134,Forest - Subtropical-tropical moist montane,0.16649558701620257
KURTf,-0.07759085098028132,-0.16,0.01,0.09200000000000008,0.078,Forest - Subtropical-tropical moist montane,0.16649558701620257
NP,0.14568655261037414,0.05,0.23,0.002,0.001,Forest - Subtropical-tropical moist montane,0.16649558701620257
LEQf,0.003022963686158031,-0.08,0.1,0.936,0.949,Forest - Subtropical-tropical moist montane,0.16649558701620257
BGNf,-0.0002809448568686046,-0.09,0.09,0.978,0.998,Forest - Subtropical-tropical moist montane,0.16649558701620257
SNRf,0.2362167852248972,0.15,0.32,0.0,0.0,Forest - Subtropical-tropical moist montane,0.16649558701620257
Hf,-0.06863076193239923,-0.15,0.01,0.09600000000000009,0.114,Forest - Subtropical-tropical moist montane,0.16649558701620257
H,-0.008335899310314263,-0.09,0.07,0.8600000000000001,0.825,Forest - Subtropical-tropical moist montane,0.16649558701620257
